device,2102-NS32-0704-AA5O
plate,
wellmapId,1002
sennum,1002
measurement,Relative Humidity
0.00111,97.5
0.01778,97.55
0.03444,97.6
0.05111,97.6
0.06778,97.66666666666667
0.08444,97.7
0.10111,97.7
0.11778,97.75
0.13444,97.8
0.15111,97.85
0.16778,97.9
0.18444,97.9
0.20111,97.96666666666665
0.21778,97.95
0.23444,98
0.25111,98.03999999999999
0.26778,98.05999999999999
0.28444,98.14
0.30111,98.2
0.31778,98.2
0.33444,98.2
0.35111,98.25
0.36778,98.25
0.38444,98.26666666666667
0.40111,98.35000000000001
0.41778,98.35263157894737
0.43444,98.35
0.45111,98.45555555555556
0.46778,98.45
0.48444,98.5
0.50111,98.45
0.51778,98.5
0.53444,98.55
0.55111,98.54999999999998
0.56778,98.55384615384615
0.58444,98.64285714285714
0.60111,98.64999999999999
0.61778,98.65294117647058
0.63444,98.7
0.65111,98.7
0.66778,98.75714285714285
0.68444,98.8
0.70111,98.83333333333333
0.71778,98.85
0.73444,98.85555555555555
0.75111,98.9
0.76778,98.95294117647059
0.78444,98.95
0.80111,99
0.81778,99.04705882352941
0.83444,99.05
0.85111,99.05
0.86778,99.1
0.88444,99.14285714285714
0.90111,99.15294117647058
0.91778,99.2
0.93444,99.2
0.95111,99.25454545454545
0.96778,99.25
0.98444,99.25
1.00111,99.3
1.01778,99.3
1.03444,99.35555555555555
1.05111,99.35000000000001
1.06778,99.4
1.08444,99.45
1.10111,99.45714285714287
1.11778,99.5
1.13444,99.5
1.15111,99.5
1.16778,99.5
1.18444,99.5
1.20111,99.5
1.21778,99.55384615384615
1.23444,99.55
1.25111,99.55
1.26778,99.55999999999999
1.28444,99.55
1.30111,99.65
1.31778,99.64444444444445
1.33444,99.652
1.35111,99.65
1.36778,99.75
1.38444,99.75
1.40111,99.75294117647059
1.41778,99.75
1.43444,99.74814814814815
1.45111,99.8
1.46778,99.85
1.48444,99.85
1.50111,99.84444444444445
1.51778,99.85185185185185
1.53444,99.848
1.55111,99.85333333333332
1.56778,99.96000000000001
1.58444,99.95
1.60111,99.95
1.61778,99.95
1.63444,99.94705882352942
1.65111,99.95714285714287
1.66778,100
1.68444,100
1.70111,100.05263157894737
1.71778,100.05
1.73444,100.05
1.75111,100.05
1.76778,100.1
1.78444,100.1
1.80111,100.14999999999999
1.81778,100.14782608695653
1.83444,100.15
1.85111,100.14999999999999
1.86778,100.15555555555555
1.88444,100.15
1.90111,100.2
1.91778,100.24
1.93444,100.25555555555555
1.95111,100.24
1.96778,100.2
1.98444,100.25384615384615
2.00111,100.3
2.01778,100.3
2.03444,100.35
2.05111,100.35
2.06778,100.35
2.08444,100.35
2.10111,100.35454545454546
2.11778,100.4
2.13444,100.4
2.15111,100.4
2.16778,100.4
2.18444,100.45
2.20111,100.45384615384616
2.21778,100.5
2.23444,100.5
2.25111,100.5
2.26778,100.5
2.28444,100.5
2.30111,100.5
2.31778,100.5
2.33444,100.5
2.35111,100.5
2.36778,100.5
2.38444,100.55999999999999
2.40111,100.6
2.41778,100.6
2.43444,100.6
2.45111,100.6
2.46778,100.6
2.48444,100.6
2.50111,100.6
2.51778,100.6
2.53444,100.6
2.55111,100.64285714285714
2.56778,100.64999999999999
2.58444,100.65
2.60111,100.66666666666667
2.61778,100.7
2.63444,100.7
2.65111,100.7
2.66778,100.7
2.68444,100.7
2.70111,100.7
2.71778,100.75
2.73444,100.75
2.75111,100.75
2.76778,100.8
2.78444,100.8
2.80111,100.8
2.81778,100.8
2.83444,100.83333333333333
2.85111,100.85
2.86778,100.8
2.88444,100.83333333333333
2.90111,100.85
2.91778,100.85263157894737
2.93444,100.85
2.95111,100.9
2.96778,100.9
2.98444,100.9
3.00111,100.9
3.01778,100.9
3.03444,100.9
3.05111,100.9
3.06778,100.93333333333334
3.08444,100.9
3.10111,100.95714285714287
3.11778,100.95
3.13444,101
3.15111,101
3.16778,101
3.18444,101
3.20111,101
3.21778,101
3.23444,101
3.25111,101
3.26778,101.05
3.28444,101.05217391304348
3.30111,101.05
3.31778,101.1
3.33444,101.1
3.35111,101.1
3.36778,101.1
3.38444,101.1
3.40111,101.1
3.41778,101.1
3.43444,101.1
3.45111,101.1
3.46778,101.13333333333333
3.48444,101.13333333333333
3.50111,101.1
3.51778,101.1
3.53444,101.15
3.55111,101.15
3.56778,101.2
3.58444,101.2
3.60111,101.2
3.61778,101.2
3.63444,101.2
3.65111,101.2
3.66778,101.2
3.68444,101.2
3.70111,101.2
3.71778,101.2
3.73444,101.2
3.75111,101.2
3.76778,101.23333333333333
3.78444,101.25
3.80111,101.25
3.81778,101.25
3.83444,101.3
3.85111,101.3
3.86778,101.3
3.88444,101.3
3.90111,101.3
3.91778,101.3
3.93444,101.3
3.95111,101.3
3.96778,101.3
3.98444,101.3
4.00111,101.3
4.01778,101.3
4.03444,101.33333333333333
4.05111,101.35217391304347
4.06778,101.35000000000001
4.08444,101.35
4.10111,101.34705882352942
4.11778,101.35000000000001
4.13444,101.35
4.15111,101.35
4.16778,101.35
4.18444,101.35000000000001
4.20111,101.35000000000001
4.21778,101.3529411764706
4.23444,101.35000000000001
4.25111,101.4
4.26778,101.4
4.28444,101.4
4.30111,101.45200000000001
4.31778,101.44827586206897
4.33444,101.45384615384616
4.35111,101.44545454545455
4.36778,101.4
4.38444,101.45
4.40111,101.45
4.41778,101.45
4.43444,101.45
4.45111,101.45
4.46778,101.45200000000001
4.48444,101.44800000000001
4.50111,101.45217391304348
4.51778,101.44814814814815
4.53444,101.45
4.55111,101.45714285714287
4.56778,101.45
4.58444,101.45
4.60111,101.5
4.61778,101.55
4.63444,101.5
4.65111,101.54705882352941
4.66778,101.55
4.68444,101.55
4.70111,101.55
4.71778,101.55263157894737
4.73444,101.54799999999999
4.75111,101.55199999999999
4.76778,101.55
4.78444,101.55
4.80111,101.6
4.81778,101.56666666666666
